Title,Abstract,Funding (USD),Start Year,End Year,Funder,Research Country,Funder Country,Fields of research
NUV Observations of Transients with the NUTRANS System: Providing NUV Data to the Time-Domain Community,"A 3-year research program led by investigators at the University of Arizona will extend the reach of ground-based astronomy into the near-ultraviolet (NUV) by utilizing an ultraviolet-optimized camera located at a top astronomy site to observe supernovae, the cataclysmic deaths of massive stars. Long the exclusive domain of costly and competitive space missions, the UV has had limited contributions to the study of the explosive deaths of stars. The UV emission from supernovae is a sensitive probe of the density and types of metals in the debris of stellar explosions. The team will support existing space UV telescopes, most notably the NASA Swift mission, but will also extend the science by being devoted to following transients and providing critical NUV follow-up. In the interest of maximizing scientific output and guaranteeing maximum inclusiveness, the team will freely accept targets from the entire astronomy community, as well as provide analyzed data products to all astronomers. By providing undergraduate students with hands-on experience in commissioning a UV camera on a robotic telescope, the program will be training the next generation of instrumental astronomers. Transient astronomy has grown considerably with the development of wide field-of-view detectors and the advent of true multi-messenger triggers of new events. The NUV wavelength range provides important information for transient science, as it reaches closer to the peak emission from these energetic explosions and disruptions. Additionally, the NUV is a wavelength range highly affected by absorption from iron-peak elements, so key information about the event is encoded in the evolution of the UV brightness. There is a need for new systems to observe transients in the NUV during the post-Swift era. Space-based missions are expensive and competitive. The team is adapting an existing telescope to be the first of a ground-based network of telescopes (NUTRANS) that could accomplish a large fraction of NUV science for orders of magnitude less cost. The key components of these telescopes will be a NUV CCD camera that reaches 200nm without a drop-off in transmission combined with filters sensitive to 300nm. This program will regularly add NUV information to multi-wavelength studies of transients. The system will accept sources from the worldwide transient surveys and provide real-time photometry of targets. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",562565,2024,2027,NSF,United States,United States,Astronomical Sciences
Material design at the picometre scale by hybrid molecular beam epitaxy,"We propose to investigate the electronic properties of artificial materials synthesised with atomic precision by means of hybrid molecular beam epitaxy (hMBE). Transition metal oxides exhibit some of the most interesting phenomena in condensed matter physics, from high temperature superconductivity to metal-insulator transitions. Synthesising these materials with advanced techniques such as hMBE allows for fine control over their interactions and electronic phases. The key insight is that manipulating the atomic structure with picometer precision can have a dramatic impact on the electronic properties of quantum materials and even generate new states of matter. In recent years this vision has materialised, opening a vast research field, where exciting and unexpected discoveries are regularly reported.The research of our group is focused on the new physics of oxide heterointerfaces, where we investigate two-dimensional, gate-controlled superconductivity, spin-orbit coupling effects and magnetism. In our lab we also investigate how light can be used to create crystal structures out of equilibrium and generate new electronic and magnetic properties. Until now our research has been based on the fabrication of materials by pulsed laser deposition.  While this technique has key strengths, such as high flexibility and relative ease of use, it also has intrinsic weaknesses that are now limiting the scope of our research. In particular, in order to uncover the most fascinating quantum effects in high-mobility interacting electron systems, materials of the highest purity and with atomically sharp interfaces within a single unit cell are needed. These requirements go beyond what is achievable by the pulsed laser deposition approaches that we have used so far and can only be met by a molecular beam epitaxy system.After my recent nomination at the University of Geneva (January 2022), our group is in the start up phase of a new research programme on controlling quantum materials at the atomic scale. In our new laboratory we will focus on the synthesis of oxide heterostructures, a key area of the Swiss solid state research. We ask for financial support to acquire a hybrid molecular beam epitaxy system that will meet these challenges. By integrating this system with advanced spectroscopies (Prof. Baumberger and Prof. Renner, UniGe) and our existing optical systems for the manipulation of crystal lattices, we will create a unique facility in the world for the design of new materials.This instrument will also have an impact on the Swiss community working on materials with novel electronic properties, creating new opportunities for collaboration across different institutions, including the groups of Prof. Zardo (UniBasel) and Prof. Johnson (ETHZ). In order to ensure that this new lab provides our scientific community with the best possible quantum materials that enable scientific investigations at an international level, it is essential that we are equipped with a state-of-the-art material synthesis system. The new materials provided by our facility will be engineered through a precise control of atomic positions at the picometer scale, pursuing the ultimate challenge in material science.",562446,2024,2026,Swiss National Science Foundation,Switzerland,Switzerland,Condensed Matter Physics
ALMA-FACTS: ALMA FundAmental CO 1-0 Transition Survey of Nearby Galaxies,"Giant Molecular Clouds (GMCs) are huge concentrations of gas that are formed via the attractive force of gravity. Throughout cosmic time, the gas in GMCs has been converted into stars. This process is still under way, and we can see ongoing star formation within GMCs in the Milky Way and nearby galaxies. This research program investigates the evolution of molecular gas and GMCs in twelve nearby galaxies using the Atacama Large Millimeter/submillimeter Array (ALMA). It will study how the GMCs form and evolve and how they start forming stars in the galaxies. This program also integrates research and education by involving graduate and undergraduate students in the research activities, with a focus on recruiting students who discover a passion for science later in their academic careers. This program is built on the ALMA-FACTS survey (FundAmental CO 1-0 Transition Survey) of 12 nearby spiral galaxies. FACTS studies the evolution of molecular gas –by means of the systematic variations in the CO J=2-1/1-0 line ratio (R21) –on GMC scales within and among the galaxies. The galaxies are selected from the legacy surveys with a variety of telescopes (ALMA, HST, JWST, Spitzer, and Herschel), which provide rich ancillary data. FACTS utilizes the existing high-resolution CO(2-1) data of the same set of galaxies from ALMA, observing the same regions at the same physical resolution and mass sensitivity. Historically, CO(1-0) has been the yardstick of molecular gas observations, while CO(2-1) is now becoming a new standard due to its easier detectability. FACTS will characterize any systematic effects in R21 and bridge the gap between the historic CO(1-0) observations and the new standard. The main scientific goals are (1) to study systematic variations of R21 (i.e., the evolution of molecular gas) on GMC scales, in arms and interarm regions, bars, and from the centers to outskirts within/among galaxies, (2) to study the environmental conditions for SF at various stages, including GMCs on the verge of SF (i.e., having high R21, but no SF), and (3) to assess the capabilities and limitations of CO(2-1) with respect to CO(1-0), as CO(2-1) is becoming the new standard for tracing bulk molecular gas in galaxies. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",562366,2024,2027,NSF,United States,United States,Astronomical Sciences
Collaborative Research: Moist Convection as a Key to Exoplanet Atmospheres and Evolution,"Convection is one of the most fundamental processes in planetary atmospheres. While often imperceptible on Earth, this boiling motion — where warm air rises and cool air subsides — helps to control a wide range of atmospheric properties, from temperature to cloudiness. Despite its central importance, convection and its impacts on how worlds cool over time are thoroughly understudied for gas giant planets. To make novel scientific progress in our understanding of how convective mixing impacts the nature of giant planet atmospheres, the project will develop computational simulation tools aimed at investigating the physical, evolutionary, and observational consequences of convection for gas giant worlds. These simulations will both reveal elements of how our own Solar System has evolved over billions of years and empower observations of distant exoplanets from ground- and space-based platforms. Alongside these novel studies, efforts will also be dedicated to enhancing STEM research experiences for undergraduate researchers from historically marginalized groups. Evidence indicates that convective mixing significantly influences the atmospheric structure of giant exoplanets and brown dwarfs. This is especially true for clement giants experiencing water condensation, due to the large latent heat of condensation and molecular abundance for water. This project will bridge the divide between one-dimensional radiative-convective models and three-dimensional general circulation models through a novel application of convection-resolving fluid dynamics. Outcomes from these simulations will include spectral observables related to convective processes as well as novel models for how gas giant worlds cool over time. The project also includes the design, implementation, sharing, and study of a rapid Python training camp for undergraduate space science researchers from historically marginalized groups. The central goal of this training is to accelerate and improve results from undergraduate faculty-led research experiences. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",560337,2024,2027,NSF,United States,United States,Earth Sciences; Atmospheric Sciences; Space Sciences
Solving the solar problem with accurate opacities,"Fundamentals of stellar astrophysics rest on our understanding of the Sun. New solar abundances that are up to 40% lower for common volatile elements C, N and O, lead to serious disagreement with stellar models and helioseismological parameters such as the radiative- convection zone boundary, sound speed, and helium abundance. This is commonly referred to as the “solar problem”. The resolution of these discrepancies depends on computing accurate opacities for key atomic elements that dominate the physics of the solar interior. This project will compute accurate opacities that can be applied to the solution of the solar problem, as well emerging areas such as asteroseismology and exoplanets. The project will provide a research opportunity for a graduate student, who will be trained in computational atomic-plasma physics and in the next generation of opacity codes that will be developed during this project. This project will extend known plasma broadening schemes: thermal Doppler effect, Stark broadening due to manifold overlap and ionization due to ion microfields, and collisional electron impact broadening that is the dominant mechanism at high densities. These effects lead to broadening and dissolution of resonances, continuum lowering below atomic levels, and raising the continuum opacity. The proposed R-matrix method accounts for resonance broadening in an a priori and ab initio manner. The project entails considerable extension of previous methods and codes in a new computational package for R-matrix opacities, and calculations will encompass other Fe-group elements such as Cr and Ni ions. Monochromatic opacities will be computed at an order-of-magnitude higher resolution than hitherto, at 100,000 photon frequencies, and yield opacity tables for stellar interior models. The extensive atomic data will be available freely via the dedicated electronic database NORAD at the Ohio State University. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",559057,2024,2027,NSF,United States,United States,Astronomical Sciences
"Towards Understanding the Multi-Phase, Multi-Scale CGM","This research team studies the atmospheres of galaxies, which has many parallels to studying Earth's atmosphere. Earth's atmosphere is fundamental to life. The water cycle, when water changes phase, is very important for life. To study this, climate scientists run computer simulations at many different scales to get accurate results. Similarly, galactic atmospheres are fundamental to star formation in galaxies. The baryonic cycle, when gas changes phase, is very important for making stars. Galaxy models cover an enormous range of scales. The investigator will run high-resolution supercomputer simulations of galactic atmospheres on small scales to understand physics that is unresolved in larger scale simulations. He will also focus on outreach to high school students, who are at a particularly formative stage. To inspire their interest in science, especially in under-represented communities, his team will give public talks, teach weekend classes, and supervise research. The investigator will run high-resolution idealized simulations to better understand: i) turbulent fragmentation and coagulation of clouds, as well as other physical processes underlying power-law cloud mass distributions. ii) The influence of magnetic fields on key processes such as ‘shattering’, survival and growth of cold streams and clouds, cloud sizes/densities and absorption line statistics, turbulent fragmentation and coagulation. iii) The observed motion of multi-phase gas in the solar corona, resolution requirements for numerically converged absorption line column densities, and the physics behind the ubiquity of OVI in galactic halos. The deeper physical understanding of multi-phase processes can then be fed back into sub-grid prescriptions for larger scale simulations. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",557211,2024,2027,NSF,United States,United States,Astronomical Sciences
Multipartite Entanglement and Dynamics in Many-body Quantum Systems,"NONTECHNICAL SUMMARY This project focuses on understanding and controlling the complex behaviors of quantum systems—those made up of many interacting particles—that arise from their interactions, randomness, and the influence of their surroundings. Recent advances in quantum technologies, such as solid-state systems, cold atoms, and quantum computers, have uncovered remarkable properties in these systems that are still not fully understood. The research aims to explore how particles in these systems are correlated quantum mechanically and how their organization is affected by factors like disorder, external disturbances, and measurement processes. It will develop new methods to study these properties and investigate how they change under different conditions, including when systems are exposed to noise or other disruptions. The outcomes could deepen our understanding of how quantum systems behave and support the development of next-generation quantum technologies. This project will also involve students and early-career researchers, encouraging collaboration and building expertise to drive progress in this cutting-edge field. TECHNICAL SUMMARY This award supports theoretical research and associated education aimed to investigate and understand novel quantum phenomena in many-body systems, particularly those that can emerge through interactions, disorder, dissipation, and periodic driving, such as Floquet driving and adiabatic processes. The focus is on exploring universal properties and phenomena in quantum phases, specifically multipartite entanglement and topological properties in open quantum systems. Key research topics include the role of multipartite entanglement and the higher Berry phase in gapped quantum phases, as well as random matrix theory applications in open quantum systems, such as Sachdev-Ye-Kitaev models under Lindbladian dissipation. Additionally, the project will address related phenomena, including quantum quench and Floquet dynamics near criticality in one-dimensional systems and the study of topologically localized insulators. Using approaches from quantum field theory and quantum information, this research seeks to develop non-perturbative theoretical tools for these complex systems. The project will integrate junior researchers, fostering collaboration and knowledge exchange, with the ultimate goal of achieving fundamental breakthroughs in the field. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",556965,2024,2028,NSF,United States,United States,Quantum Physics
Probing Novel Out-of-Equilibrium Quantum Dynamics in Homogeneous Atomic Quantum Gases,"Dynamical systems with intrinsic instability can amplify small initial perturbations to produce fascinating features we experience daily, from cloud and pattern formation in weather and geography, freak waves in oceanography, to structure formation in the universe. Such dynamics in quantum many-body systems present interesting but challenging problems because of the need to consider quantum correlations between the constituent particles. An instability could amplify initial quantum fluctuations, noise that exists even without external or thermal perturbations, into an observable pattern that could show distinct behaviors compared with those found in classical systems. Understanding quantum instability dynamics could lead to a better understanding of microscopic to mesoscopic quantum phenomena and new applications such as quantum-enhanced amplifiers and sensors. In this project, the research team will use ultracold atomic gases to form a uniform superfluid and study its out-of-equilibrium behavior and instability-induced quantum dynamics. The first project goal aims at exploring the dynamics of ultracold atoms brought to an attractive interaction so that the system becomes unstable against density perturbations. The team will study how these perturbations evolve due to a pattern forming instability and detect quantum correlations within the system. In the second project goal, the team will implement a new scheme to make a superfluid flow faster than the speed of sound and study the instability of the supersonic flow. The aim is to examine how energy flow is dissipated in the system, which may find connections with important topics in condensed matter and plasma physics, and astronomy. This project will provide training for multiple PhD students and undergraduate research assistants, preparing them for future physics careers. The project will also support the PI’s continuing participation in outreach activities at Purdue University, including an instrumentation development program with the active involvement of service-learning undergraduate students and local high school students. The PI and the team will use ultracold cesium atoms trapped in an optical box to study novel nonequilibrium physics and instability-induced quantum dynamics. Ultracold atoms present an ideal testbed for studying out-of-equilibrium quantum dynamics because of the well-developed control toolbox for accessing instability physics with precise timing and for probing them with many details. The tools include precision tuning of atomic interactions through a Feshbach resonance and arbitrary potential-shaping that could induce dynamics with high spatiotemporal resolution. High-resolution in-situ imaging, time-of-flight measurements, and interferometry will provide complementary information on the density distribution, momentum state population, and long-range phase coherence. The project goals include probing quantum many-body dynamics in an attractive Bose gas and supersonic turbulence in a superfluid. The first goal aims at studying the dynamics of quantum many-body breathers, distinct from mean-field breathers, exploring a novel quantum phase transition in a one-dimensional Bose gas that occurs even at zero temperature, and detecting the non-local correlations and quantum entanglement in a novel state of a Bose condensate following an interaction quench. The second goal aims at using engineered dissipation to induce supersonic flows in a superfluid and to observe the instability of the flow. This technique allows the study of supersonic turbulence in a compressible, zero-viscosity quantum fluid. The engineered supersonic flow also promises a new way of generating sonic black holes. Success in this project could lead to a better understanding of instabilities and entanglement generation in quantum many-body systems, quantum thermalization problems, dynamical quantum phase transitions, and quantum turbulence in supersonic flows. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",555505,2024,2027,NSF,United States,United States,"Atomic, Molecular and Optical Physics; Quantum Physics"
Collaborative Research: NSF-NSERC: Data-enabled Model Order Reduction for 2D Quantum Materials,"The project will provide state-of-the-art computational tools for the development of novel 2D materials and their potential application to ultra-fast electronic, opto-electronic, and magnetic devices; unconventional optical and photonic devices; communication devices; and quantum computing applications. The project will address interconnected challenges in emerging areas of quantum science, computational mathematics and computer science by effectively merging highly domain-specific techniques with general machine learning techniques, thus informing and motivating analogous research on model order reduction across the sciences and engineering. 2D materials research is an ideal platform to motivate new mathematics training and curricula in the analysis, modeling, and computation of electronic structure, mechanical and topological properties of materials, and analysis of experimental data. The project’s outreach to female and underrepresented student populations will broaden the diversity of the mathematical research community, and the project provides research training opportunities for graduate students. Many quantum phenomena of scientific and technological interest emerge naturally at the moiré length scales of layered 2D materials which makes those materials an exciting platform to explore quantum materials properties and to prototype quantum devices. For example, correlated electronic phases such as superconductivity have been recently observed in twisted bilayer graphene (tBLG). Such pioneering results have opened up a new era in the investigation and exploitation of quantum phenomena. Despite the continuing increase in computational resources, high-fidelity modeling and simulation of many quantum materials systems remains out of reach. The limitation is particularly serious in 2D heterostructures due to the large scales at which the quantum phenomena of interest emerge. The objective of this NSF-NSERC Alliance project is to develop an advanced computational modeling workflow, merging state-of-the-art quantum modeling and machine-learning methods to enable rapid, automated, high-fidelity exploration of mechanical and electronic properties of 2D quantum materials. This award is jointly supported by the Division of Mathematical Sciences, the Division of Materials Research and the Office of Advanced Cyberinfrastructure. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",555373,2024,2027,NSF,United States,United States,"Engineering; Electronics, Sensors and Digital Hardware; Quantum Physics"
New Strategy for Synthesis of Atomically Precise Graphene Nanoribbons,"With the support of the Macromolecular, Supramolecular and Nanochemistry (MSN) program in the Division of Chemistry, Professor Guangbin Dong at the University of Chicago is developing efficient and scalable synthetic approaches for preparing atomically precise graphene nanoribbons (GNRs). These nanoribbons are exquisitely thin strips of graphene: a sheet of carbon atoms arranged in a rigid structure that resembles chicken wire. Graphene nanoribbons have emerged as attractive organic materials for potential applications in high speed, lightweight, flexible electronic, and spintronic devices. In this project, physical organic chemistry knowledge will be combined with advanced tools of transition metal catalysis to develop efficient strategies for making these interesting materials. If successful, the research will address a long-standing challenge of preparing narrow zig-zag graphene nanoribbons for studying their physical, electronical, optical, and magnetic properties. The research team will also be actively engaged in the Chicago Pre-College Science & Engineering Program (ChiS&E) to provide early chemistry education to Chicago public middle-school students, the Collegiate Scholars Program to teach high school students, and the Leadership Alliance Summer Research Early Identification Program (SR-EIP) to offer lab research experience to undergraduate students. Integration of the project with these outreach activities has the potential to greatly encourage diverse and students from underrepresented groups to explore careers in science and engineering while learning and actively contributing to research. The research project will focus on the development of efficient and scalable synthetic approaches towards atomically precise and narrow N=3-5 zigzag graphene nanoribbons (zGNRs). The preparation and fabrication in liquid phase of well-defined pristine zGNRs are very challenging and underdeveloped. To overcome these unmet challenges, stepwise cyclodehydrogenation approaches to access zGNRs from their more stable oxidized or reduced precursor ribbons will be devised. The novel monomer synthesis, on the other hand, will be explored using palladium/norbornene catalysis. Compared to the existing approaches for GNR synthesis, the merits of the new strategies have the potential to be quite significant: (i) monomers will be prepared in a streamlined manner from commercially available starting materials; (ii) the syntheses will be scalable by using in solution polymerization; (iii) air sensitive intermediates will be circumvented, easing the material transfer process; (iv) aryl−aryl cleavage defects are to be minimized by avoiding labile m-xylene-type units. The knowledge gained from this project has the potential to advance the understanding of these graphene-like quasi-one-dimensional polymers, which in turn will further stimulate the development of other new conjugated organic semiconducting materials. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",555000,2024,2027,NSF,United States,United States,Education; Condensed Matter Physics
Advances in Coupled Cluster Theory,"John F. Stanton of the University of Florida is supported by an award from the Chemical Theory, Models and Computational Methods program in the Division of Chemistry to develop and implement quantum-mechanical methods for doing calculations relevant to the fields of molecular spectroscopy and chemical kinetics. The Stanton group has a longstanding presence in an area that can be characterized as “Theoretical Chemical Physics”. In the research supported by this grant, they will continue to develop and refine methods relevant to the areas of molecular spectroscopy (how molecules and electromagnetic radiation interact) and chemical kinetics (how quickly chemical reactions occur). In addition to this, the development of the base quantum-chemical methods will be extended. In particular, the supported research will produce cutting-edge software program packages for doing very accurate calculations for “open-shell’’ molecules (those that contain one or more unpaired electrons). It is expected that the software will be the most efficient available to the community for studying this interesting class of molecules that are relevant to areas such as the environment, energy science, and astronomy. This work will extend a highly efficient coupled-cluster (CC) package (NCC, developed previously by the PI and D.A. Matthews of Texas Methodist University) to open-shell reference functions, for which methods for ground and excited states (CC and EOM-CC) will be implemented for general open-shell references up through the CCSDTQ level of theory. In addition, analytic gradients for all of these methods will become available within the funding period. Beyond this, a method that accounts for quantum tunneling effects in chemical kinetics – semiclassical transition theory – will be studied to assess how far below the barrier this method is able to provide accurate results. Remaining research on electronic spectroscopy will range from a diagrammatic fundamental analysis of the spectroscopic intensity of complicated vibronic interactions and study of the uniquely complex A-state of the nitrate radical. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",551908,2024,2027,NSF,United States,United States,"Chemical Sciences; Physical Chemistry; Theoretical and Computational Chemistry; Atomic, Molecular and Optical Physics"
High-field quantum matter X-ray scattering (HIQXS),"Intense magnetic fields of up to and exceeding 100 Tesla are nowadays available at specialized high-field laboratories which allow obtaining fascinating insight in to the so-called quantum limit of solids at high magnetic fields and low temperatures. For example, quantum oscillations experiments give access to the electronic structure of quantum many-body ground states, such as high-temperature superconductors, strongly-correlated heavy-Fermion materials or quantum Hall systems. Understanding the underlying interactions of these systems is not only of fundamental but also technological interest. However, while these high-field probes are powerful to shed light on the high-field electronic properties, they are much less suited to gain direct insight of field-induced symmetry breaking. Structural probes have also made tremendous progress in the last decades. In particular, the advent of X-ray free-electron lasers (FEL) now permits to map structural dynamics at the inherent time (femtosecond) and length (Ångström) scales. Furthermore, the brilliant X-ray FEL pulses can also be used single-shot experiments where diffraction patterns with sufficient signal-to-noise ratio are recorded by individual X-ray snapshots. For example, earlier we have demonstrated the power of synchronizing femtosecond X-ray FEL pulses with millisecond pulsed magnetic fields, which has led to the discovery of a long-range charge-ordered state that underlies high-temperature superconductivity in copper-oxide materials.Here we propose to close the gap between high-field laboratory and beamline work via an integrated approach: We have formed a Swiss-French consortium of condensed matter physicists with complementary expertise in high magnetic field technology and cryogenics, as well as scattering techniques. Together, we want to benefit from the opportunities at the Cristallina-Quantum endstation of SwissFEL where high pulsed magnetic fields, low-temperature sample environments and X-ray scattering can be brought together in a unique fashion. To this end, we plan to collaboratively tackle one technical (realization of sub-1.5 Kelvin sample temperatures) and five scientific work packages. The focus of the latter ranges from searching for direct experimental evidence for mechanism that underlie field-induced multiferroicity, quantum magnetism and hidden orders, as well as the search for the theoretically predicted three-dimensional quantum Hall effect. All of these examples build on some form of spin-charge-lattice interaction which permits an “informed” search for the scattering signals.In addition to bringing together a diverse team of experts to tackle open scientific questions at the forefront of contemporary condensed matter physics, our binational consortium represents a push towards building up a lively user community at SwissFEL, where also high-field condensed matter research is represented.",551470,2024,2027,Swiss National Science Foundation,Switzerland; France; Switzerland,Switzerland,Condensed Matter Physics; Quantum Physics
Topological quantum matter and crystalline symmetry,"NONTECHNICAL SUMMARY This award supports theoretical research on understanding new kinds of phenomena that can arise due to the presence of crystalline symmetry in quantum systems. Quantum materials typically exist in a crystalline environment due to the periodic arrangement of atoms. Hence, the material under question often also has a crystallographic symmetry that includes rotations, reflections, and translations of the space, meaning that the crystal structure remains the same under such operations. In the presence of these symmetries, quantum materials can host new types of physical phenomena. For example, if a quantum material has a rotational symmetry, then it is possible for certain kinds of crystal defects to accumulate quantized electric charges that are fractions of the charge of the electron. The project will incorporate methods from mathematical physics and quantum field theory to further our ability to characterize and classify the robust, quantized properties exhibited by quantum systems with crystalline symmetry. The project will also develop methods to experimentally probe these phenomena in a variety of settings, including two-dimensional quantum materials, photonic systems, and noisy intermediate scale quantum computers. The project has a strong educational component, as it fully supports a graduate student. The PI will further develop and publicly release lecture notes for his special topics graduate courses on topological quantum matter and on machine learning. In addition, the PI will remain active in various forms of outreach, at the high school level through outreach programs at his institution and through an active social media presence. Ongoing industry collaborations will further broaden the societal impacts of the project through its applications to quantum computing. TECHNICAL SUMMARY This award supports theoretical research in developing the theory of topological phases of matter with crystalline symmetry. This theory will apply in the regime of strong interactions, and thus go beyond single-particle band theory, using the tools of topological quantum field theory. The project has several different components and builds directly on significant progress from the last project period. In the first component, the PI’s group will extend their theories of two-dimensional strongly interacting crystalline topological phases, which applied to the case orientation-preserving wallpaper groups, to include all 17 wallpaper groups. The second component is to perform numerical calculations for models of fractional Chern insulators and quantum spin liquids, specifically using projected quantum wave functions, to understand the emergence of new crystalline symmetry-protected topological invariants and their physical properties. These include invariants obtained through partial symmetry operations and through fractional charges accumulated at lattice defects. The third component is to develop methods to experimentally probe the PI’s recently discovered crystalline topological invariants in two-dimensional quantum materials, photonic systems, and noisy intermediate scale quantum computers. Finally, the theoretical advances will be extended to develop a theory of critical phenomena enhanced with crystalline symmetry. The project has a strong educational component, as it fully supports a graduate student. The PI will further develop and publicly release lecture notes for his special topics graduate courses on topological quantum matter and on machine learning. In addition, the PI will remain active in various forms of outreach, at the high school level through outreach programs at his institution and through an active social media presence. Ongoing industry collaborations will further broaden the societal impacts of the project through its applications to quantum computing. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",550830,2024,2028,NSF,United States,United States,Condensed Matter Physics; Quantum Physics
Colloidal Chemistry of III-V Semiconductor Quantum Dots in Molten Inorganic Salt,"With the support of the Macromolecular, Supramolecular and Nanochemistry Program in the Division of Chemistry, Professor Dmitri Talapin of the University of Chicago will be developing methods to make some of today’s best performing semiconductor materials affordable to all. The best solar cells, LEDs and lasers use materials like gallium arsenide (GaAs). This material and its cousins, called the “III-Vs,” are made of inexpensive elements, but they are very difficult and expensive to produce by current technologies. However, if III-Vs could be turned into quantum dots (particles around one ten-millionth of an inch across that were at the core of the 2023 Nobel Prize in Chemistry), then they could be produced on a large scale. Early attempts at this failed because ordinary solvents are not compatible with the high temperatures required. The Talapin research group will be using molten salts, including sodium chloride (table salt) as solvents to grow III-V quantum dots either from scratch or by converting more readily accessible quantum dots into GaAs and other more challenging III-V-type nanostructures. This program will train scientists in state-of-the-art techniques in both chemistry and physics and also support outreach to Chicago’s South Side to enrich public understanding of the materials that illuminate our surroundings. Semiconductors of the III-V variety are more engineerable than other compound semiconductors and have generally superior optical and electronic characteristics. The research program seeks to expand the fundamental boundaries for solution synthesis of nanoscale III-V semiconductors by investigating key aspects of the chemistry and physics of colloidal synthesis in molten inorganic salts, from examining the stability of nanoscale III V phases in molten salts with different Lewis acidity and redox potentials, to developing new syntheses of binary, ternary and quaternary III-V nanocrystals. State-of-the-art spectroscopic, electrochemical, and X-ray scattering techniques will be implemented for mechanistic studies of III-V nanocrystal synthesis in high-temperature molten salts. These studies have the potential to advance the development of new functional materials, to help uncover their electronic and optical properties, and to potentially open up important new avenues for the synthesis of III-V semiconductors by solution methods. The ultimate goal is to control the morphology, defects, doping, surface and other characteristics of colloidal III-V nanostructures on a level comparable to III-V nanostructures grown by high-temperature physical epitaxial deposition methods. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",550000,2024,2027,NSF,United States,United States,Chemical Sciences; Macromolecular and Materials Chemistry; Condensed Matter Physics
CAREER: Elliptic cohomology and quantum field theory,"The research of this award lies at the interface between theoretical physics and geometry. An unsolved conjecture posits a deep connection between the geometry of supersymmetric quantum field theories and certain structures in algebraic topology. Resolving this conjecture would provide new insight into the mathematical foundations of quantum field theory, while also providing several long-anticipated applications of algebraic topology in physics. The projects the PI will work on leverage higher categorical symmetries to gain new insights into this 30-year-old conjecture. The award supports graduate students working with the PI whose research will contribute to this area. The PI will also continue his involvement in mathematics education for incarcerated people through the Education Justice Project in Illinois. The proposed research is centered on an equivariant refinement of Stolz and Teichner’s conjectured geometric model for elliptic cohomology from 2-dimensional supersymmetric field theories. The overarching goal is to link structures in Lurie’s 2-equivariant elliptic cohomology with the geometry of supersymmetric gauge theories. Some of the projects are natural extensions of prior work at heights zero and one, focusing on height 2 generalizations of specific quantum field theories that are expected to construct elliptic Thom classes. Other projects will initiate the study of 2-equivariant geometry, interfacing with topics in string geometry, loop group representation theory, and elliptic power operations. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",550000,2024,2029,NSF,United States,United States,Mathematical Sciences; Mathematical Physics; Pure Mathematics; Nuclear and Plasma Physics
